input,style,roast
"My job is accountant, I love eating ramen, and I enjoy coding memes.",sarcastic,"A accountant that eats ramen and enjoys coding memes? Wow, truly the hero our economy needed."
"My job is accountant, I love eating instant noodles, and I enjoy playing sudoku.",sarcastic,"A accountant that eats instant noodles and enjoys playing sudoku? Wow, truly the hero our economy needed."
"My job is HR intern, I love eating ramen, and I enjoy collecting Funko Pops.",sarcastic,"A HR intern that eats ramen and enjoys collecting Funko Pops? Wow, truly the hero our economy needed."
"My job is data analyst, I love eating instant noodles, and I enjoy playing sudoku.",sarcastic,"A data analyst that eats instant noodles and enjoys playing sudoku? Wow, truly the hero our economy needed."
"My job is software engineer, I love eating kale smoothie, and I enjoy watching anime.",sarcastic,"A software engineer that eats kale smoothie and enjoys watching anime? Wow, truly the hero our economy needed."
"My job is data analyst, I love eating kale smoothie, and I enjoy playing sudoku.",sarcastic,"A data analyst that eats kale smoothie and enjoys playing sudoku? Wow, truly the hero our economy needed."
"My job is data analyst, I love eating instant noodles, and I enjoy TikTok dancing.",friendly,"As a data analyst who loves instant noodles and enjoys TikTok dancing, you're living the dream — the weird dream, but a dream nonetheless."
"My job is data analyst, I love eating unseasoned chicken, and I enjoy playing sudoku.",friendly,"As a data analyst who loves unseasoned chicken and enjoys playing sudoku, you're living the dream — the weird dream, but a dream nonetheless."
"My job is HR intern, I love eating pineapple pizza, and I enjoy coding memes.",sarcastic,"A HR intern that eats pineapple pizza and enjoys coding memes? Wow, truly the hero our economy needed."
"My job is accountant, I love eating ramen, and I enjoy cat cosplay.",savage,You're a accountant who survives on ramen and spends weekends cat cosplay? No wonder your Wi-Fi has more stability than your career.
"My job is software engineer, I love eating pineapple pizza, and I enjoy cat cosplay.",sarcastic,"A software engineer that eats pineapple pizza and enjoys cat cosplay? Wow, truly the hero our economy needed."
"My job is freelance DJ, I love eating ramen, and I enjoy watching anime.",sarcastic,"A freelance DJ that eats ramen and enjoys watching anime? Wow, truly the hero our economy needed."
"My job is software engineer, I love eating pineapple pizza, and I enjoy watching anime.",savage,You're a software engineer who survives on pineapple pizza and spends weekends watching anime? No wonder your Wi-Fi has more stability than your career.
"My job is software engineer, I love eating unseasoned chicken, and I enjoy TikTok dancing.",savage,You're a software engineer who survives on unseasoned chicken and spends weekends TikTok dancing? No wonder your Wi-Fi has more stability than your career.
